"event";"anger";"contempt";"disgust";"fear";"happiness";"neutral";"sadness";"surprise";"long_date";"stoxx_d0";"stoxx_d1";"vol_d0";"vol_d1";"emo_score";"emo_neg";"stoxx_AR1";"vol_AR1";"ret_d0";"ret_d1";"ret_AR1"
1101;0,0330723544725888;0,00427227539834033;0,00303211038847631;0,000239596644994119;0,0278803113771296;0,890004976971111;0,0246444741471196;0,0168539016717374;"13.01.11";2915,617;2920,404;21,47;20,44;0,109995024100386;0,0821147127232566;2879,114;22,27;0,0126785531937952;0,00164184802050471;0,0295040089708836
1102;0,0254481676527463;0,00261744994416933;0,00170700466933997;0,000148354432173;0,0295481361055789;0,909434591946994;0,025428249166813;0,00566804541930356;"03.02.11";2995,487;3003,193;22,09;20,9;0,0905654073901241;0,0610172712845452;3012,698;21,66;-0,0057128195391638;0,00257253661925438;0,00195755504501105
1103;0,0241027753954791;0,0033804732346582;0,00221744308349403;0,000197045323024492;0,00704925845146697;0,9229868915;0,0175952780453644;0,0224708342712136;"03.03.11";2969,245;2949,177;23,93;23,64;0,0770131078047008;0,0699638493532338;2958,803;24,6;0,00352912985420128;-0,00675862045738895;-0,00820073825080425
1104;0,0208341626495447;0,00394969193646619;0,00327987915494089;0,000529427244258455;0,0192014924258023;0,897155245394954;0,0263327343796674;0,0287173661504205;"07.04.11";2963,693;2984,657;21,02;19,96;0,1028447539411;0,0836432615152981;2971,478;20,16;-0,00261990834190928;0,00707360715161798;0,00695469771650203
1105;0,023767404449629;0,00242547759551048;0,00310073827115867;0,000104821469269428;0,00640088672820461;0,885010248626667;0,0738611699955117;0,00532925337011305;"05.05.11";2926,537;2952,897;22,55;19,98;0,114989751879397;0,108588865151192;2952,02;21,86;-0,00863239408947103;0,00900723278058679;-0,016122877154508
1106;0,0153815893717214;0,00354755864715695;0,00232849730274506;0,000241944155739936;0,0273140499512952;0,898145079986764;0,0383987828432169;0,0146424968598256;"09.06.11";2778,117;2732,54;20,94;22,62;0,101854919131701;0,0745408691804058;2752,058;22,69;0,00946891380922943;-0,016405716533897;-0,00808973715292438
1107;0,0211655668089145;0,00362307326302892;0,00319437042788367;0,000305829252924636;0,0119256461977846;0,917042106974699;0,0267424706006446;0,0160009362690725;"07.07.11";2844,512;2790,092;20,59;22,41;0,0829578928202535;0,0710322466224688;2832,628;20,92;0,00419539734832819;-0,0191315768750493;-0,00627326338093892
1108;0,0200063842436957;0,0030272451683536;0,00262711970404334;0,000175525102286031;0,00987787466966567;0,928109509929039;0,0254139631836638;0,0107623788370265;"04.08.11";2412,287;2375,15;34,63;39,25;0,0718904909087347;0,062012616239069;2497,83;29,72;-0,0342469263320563;-0,0153949343506804;-0,0184935011045646
1109;0,0275619759318859;0,00316246569904579;0,00208965321594096;0,000138282697945426;0,0218098670090746;0,906852331322657;0,026182292304841;0,0122031310310159;"08.09.11";2163,396;2073,665;41,63;49,79;0,0931476678897496;0,071337800880675;2151,16;43,47;0,0056880938656354;-0,0414769186963461;0,0341603276376217
1110;0,0646343281070519;0,00711903853137205;0,00818223209834905;0,000237121075075559;0,0828419970939157;0,799098484974217;0,0227736192139431;0,0151131797238116;"06.10.11";2248,777;2269,189;42,63;40,56;0,200901515843519;0,118059518749603;2179,42;45,6;0,0318236044452194;0,00907693381780406;0,0422416262531151
1111;0,000831711098552738;0,00601295018996103;0,000624532043694863;6,07229033610186e-05;0,0366737886373803;0,893972175234173;0,0608802749035816;0,000943844831413846;"03.11.11";2347,941;2291,474;40,05;41,49;0,106027824607945;0,0693540359705651;2291,887;42,14;0,0244575757879859;-0,0240495821658209;0,0142282170254477
1112;0,000976685175733946;0,00821651142260706;0,000717803352971615;7,10863389077642e-05;0,0707476568106733;0,875740854477296;0,0413886000903834;0,00214080234553116;"08.12.11";2288,05;2342,586;39,38;34,9;0,124259145536808;0,0535114887261349;2344,916;37,22;-0,0242507620742065;0,0238351434627737;-0,00500316755540664
1201;0,000325506255078885;0,00452732716335;0,000268259484856816;1,0791555045741e-05;0,0332359958877634;0,92196819443346;0,0393580951396578;0,000305830401720271;"12.01.12";2345,85;2338,01;28,55;28,92;0,0780318058874728;0,0447958099997095;2339,511;28,46;0,00270954058348094;-0,00334207217000226;-0,00339130775574759
1202;0,000217327798463046;0,00122141268383014;0,000250968877804003;7,65176758470774e-06;0,0163807702595913;0,916946329507064;0,0647168665863422;0,000258673435206945;"09.02.12";2522,338;2480,755;25,92;27,38;0,0830536714088222;0,066672901149231;2512,918;25,73;0,00374863007865756;-0,0164858952289503;-0,000478894818946585
