;t_sec;price;vol
0;6;142.38;241
1;9;142.4;39
2;12;142.4214286;246.7142857
3;14;142.5;596.6666667
4;16;142.5636364;157.4545455
5;17;142.6833333;112.1111111
6;20;142.76875;167.75
7;21;142.8854167;184.7916667
8;22;142.9571429;166.1071429
9;23;142.85;1
10;24;142.74;147
11;28;142.81;328.8
12;31;142.85;144.5
13;36;142.775;249.5
14;40;142.775;197
15;47;142.85;149.75
16;49;142.9;255.5
17;50;142.9;8
18;51;142.925;598.25
19;52;142.98;152.4
20;53;143;250
21;54;142.95;53
22;56;142.75;218
23;63;142.75;36
24;64;142.7;624
25;65;142.78;326
26;68;142.8;372.5
27;69;142.8;250
28;71;142.8333333;750
29;73;142.825;238
30;77;142.95;500
31;82;142.9;257
32;91;142.925;115.5
33;94;142.95;250
34;98;142.95;9
35;101;142.95;427.5
36;106;143;609
37;108;142.95;102.5
38;112;142.95;398.25
39;113;142.9;77.5
40;114;142.9;57
41;119;142.9;139
42;122;142.95;100
43;124;142.975;261.5
44;136;142.95;146
45;148;142.95;30
46;152;142.95;481
47;168;142.9;303.5
48;169;142.825;212.5
49;172;142.8;85
50;181;142.75;181
51;183;142.7;50
52;184;142.7;97
53;188;142.7;201
54;194;142.7;160
55;207;142.7;39
56;255;142.625;199
57;261;142.55;27
58;262;142.4833333;136.8333333
59;271;142.5666667;470.3333333
60;272;142.575;56.5
61;273;142.65;83
62;277;142.65;81.5
63;278;142.65;79
64;282;142.65;45
65;285;142.7;82
66;293;142.7;7
67;300;142.7;6
68;302;142.725;250
69;303;142.7;139.6
70;327;142.75;500
71;348;142.725;207.5
72;369;142.7;75
73;373;142.65;36
74;375;142.575;500
75;383;142.65;20
76;386;142.6;41
77;393;142.6;84
78;402;142.6;80
79;418;142.65;5
80;429;142.55;110
81;436;142.4666667;203.6666667
82;441;142.475;80.5
83;447;142.5;228.5
84;456;142.5;328
85;461;142.5;75
86;476;142.4375;944.25
87;485;142.5;422.5
88;486;142.5;60
89;487;142.55;230
90;489;142.59;154.4
91;499;142.55;175
92;524;142.5666667;62.33333333
93;534;142.55;50
94;541;142.5;1229
95;542;142.45;76
96;543;142.45;100
97;549;142.4;307
98;585;142.4;194.6666667
99;634;142.3333333;524
100;643;142.35;187
101;645;142.35;30
102;660;142.425;159.75
103;666;142.4;66
104;667;142.4;100
105;668;142.45;68.5
106;673;142.45;220
107;677;142.5;1160.5
108;682;142.5;496
109;696;142.5;146.3333333
110;701;142.5;323
111;705;142.45;41
112;754;142.5;84
113;758;142.45;249
114;765;142.45;211
115;791;142.45;35.5
116;809;142.4;10
117;820;142.3928571;383.2857143
118;856;142.35;71
119;863;142.4;309.8
120;869;142.4;73
121;880;142.4;136.5
122;885;142.4;31
123;889;142.4;94.66666667
124;1002;142.4;140.5
125;1010;142.425;133.75
126;1019;142.45;400
127;1038;142.45;283
128;1055;142.5;450
129;1064;142.5;295.5
130;1066;142.55;223
131;1078;142.575;250
132;1089;142.55;15
133;1120;142.55;237
134;1133;142.55;601.6666667
135;1139;142.55;75
136;1156;142.5;253
137;1201;142.55;100.5
138;1213;142.5;465
139;1259;142.5;169.5
140;1266;142.5;88
141;1282;142.5;138
142;1299;142.5;261.375
143;1312;142.5;500
144;1337;142.5166667;882.3333333
145;1345;142.55;4
146;1389;142.5;11
147;1416;142.5;188
148;1430;142.475;250
149;1434;142.55;84
150;1441;142.55;120
151;1450;142.5;91
152;1455;142.5;369
153;1504;142.55;501.5
154;1507;142.6;530.6
155;1510;142.55;70
156;1541;142.6;134.5
157;1553;142.55;100
158;1554;142.55;252
159;1563;142.55;317.1666667
160;1567;142.5;603.5
161;1573;142.45;56.66666667
162;1579;142.45;100
163;1615;142.4375;202.75
164;1628;142.4833333;552.3333333
165;1631;142.45;50
166;1633;142.45;100
167;1641;142.45;162
168;1654;142.5;229.625
169;1696;142.4;137.0588235
170;1725;142.35;26
171;1731;142.45;319.75
172;1738;142.4;460
173;1761;142.45;90
174;1766;142.4;12
175;1772;142.45;132.5
176;1782;142.45;50
177;1787;142.45;47
178;1788;142.45;33
179;1802;142.5;561.3333333
180;1804;142.5;213.5
181;1808;142.5;238.5
