,anger,disgust,fear,happy,sad,surprise,neutral
anger,246,2,48,42,79,12,38
disgust,15,24,5,4,6,0,2
fear,60,2,220,25,103,27,59
happy,31,0,22,729,42,17,54
sad,100,3,66,57,331,9,87
surprise,18,0,38,23,13,302,21
neutral,70,2,48,77,116,7,287
